Source,IMD,,,,,,,,,,,,,,
State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Andhra Pradesh,West Godavari,2009,0,0,1,0,53.3,23.9,157.9,135.8,197.9,51.5,131.2,0.6,753.1
Andhra Pradesh,West Godavari,2010,38.3,0,0,35.7,170.1,177.1,373.6,316.9,266.4,206.2,203,113.4,1900.7
Andhra Pradesh,Adilabad,2004,3.1,3.7,6.4,0,26.1,70.4,262.6,124.4,126.2,44.2,0,0,667.1
Andhra Pradesh,Adilabad,2005,91.8,0.6,15.3,15.5,0,152.1,655.6,136.4,218.4,150.8,0,0,1436.5
Andhra Pradesh,Adilabad,2006,0,0,19.9,23.3,65,93.5,261.8,363.6,336,35.3,34.3,0,1232.7
Andhra Pradesh,Adilabad,2007,0,0,0.8,22.1,4.3,141.9,109.6,219.2,259.2,31.5,7.9,0,796.5
Andhra Pradesh,Adilabad,2008,0,1.9,60.5,5.5,0,144.1,207.1,357.7,129,10.7,0.3,0,916.8
Andhra Pradesh,Adilabad,2009,15.5,0,3.9,0,23.8,105,185.4,188.1,115.9,59.4,22.7,0.6,720.3
Andhra Pradesh,Adilabad,2010,5.2,10,0.7,3.6,8.8,98.2,408,421.6,298.8,110.3,56.1,4,1425.3
Andhra Pradesh,Ananthapur,2004,10.8,0,6,34.9,124.2,11.9,105.5,22,158.5,78.3,12.4,0,564.5
Andhra Pradesh,Ananthapur,2005,1.4,9,3.9,32.3,79,52,135.8,134.5,142.9,181.9,36.1,10.9,819.7
Andhra Pradesh,Ananthapur,2006,0,0,38.4,8.3,86.8,81.1,27.3,11.4,80.4,67.5,92.4,1,494.6
Andhra Pradesh,Ananthapur,2007,0,0,0,1.5,13,171.4,63.1,119.9,182.6,115,8.1,15.3,689.9
Andhra Pradesh,Ananthapur,2008,0,25.2,116.7,0,63,61.7,108,124.2,193.7,130.3,42.1,2.2,867.1
Andhra Pradesh,Ananthapur,2009,0.4,0,2.7,6.3,77.5,50.8,10.2,100.9,203.1,64,66.6,2.8,585.3
